Han_Ji,Chu_Im,Freq,Siann,Un, Tiau 
旨,chhi2,,chh,i, 2 
早,chho2,,chh,o, 2 
旬,sun5,,s,un, 5 
旭,hiok4,,h,iok, 4 
曲,khiok4,,kh,iok, 4 
曳,qi7,,q,i, 7 
有,qiu2,,q,iu, 2 
有,qiu7,,q,iu, 7 
朱,chhu1,,chh,u, 1 
朳,put4,,p,ut, 4 
朴,phok4,,ph,ok, 4 
朵,to2,,t,o, 2 
朶,to2,0.01 ,t,o, 2 
机,ki2,,k,i, 2 
朽,hiu2,,h,iu, 2 
朿,chi3,,ch,i, 3 
杀,sat4,,s,at, 4 
次,chu3,,ch,u, 3 
此,chu2,,ch,u, 2 
死,si2,,s,i, 2 
死,su2,,s,u, 2 
氼,kek4,,k,ek, 4 
氽,thun2,,th,un, 2 
汎,hoan3,,h,oan, 3 
汏,that4,,th,at, 4 
汐,sek8,,s,ek, 8 
汓,siu5,,s,iu, 5 
汔,git4,,g,it, 4 
汕,san3,,s,an, 3 
汗,han7,,h,an, 7 
汙,qu1,0.01 ,q,u, 1 
汛,sin3,,s,in, 3 
汝,ji2,,j,i, 2 
汝,li2,,l,i, 2 
江,kang1,,k,ang, 1 
池,ti5,,t,i, 5 
污,qu1,,q,u, 1 
污,qu3,0.10 ,q,u, 3 
灮,kong1,0.01 ,k,ong, 1 
灯,teng1,0.01 ,t,eng, 1 
灰,hoe1,,h,oe, 1 
灲,se3,,s,e, 3 
牝,pin7,,p,in, 7 
牟,boo5,,b,oo, 5 
犴,gan7,,g,an, 7 
甪,lok4,,l,ok, 4 
甶,hut4,,h,ut, 4 
百,pek4,,p,ek, 4 
礼,le2,0.01 ,l,e, 2 
穵,qoat4,,q,oat, 4 
竹,tiok4,,t,iok, 4 
米,bi2,,b,i, 2 
糸,bek8,,b,ek, 8 
缶,hoo2,,h,oo, 2 
网,bong2,0.01 ,b,ong, 2 
羊,qiang5,,q,iang, 5 
羽,qi2,,q,i, 2 
老,lo2,,l,o, 2 
考,kho2,,kh,o, 2 
而,ji5,,j,i, 5 
耒,joe7,,j,oe, 7 
耳,ji2,,j,i, 2 
聿,qit8,,q,it, 8 
肉,jiok8,,j,iok, 8 
肋,lek8,,l,ek, 8 
肎,kheng2,,kh,eng, 2 
臣,sin5,,s,in, 5 
自,chhu7,,chh,u, 7 
至,chhi3,,chh,i, 3 
臼,kiu7,,k,iu, 7 
舌,siat8,,s,iat, 8 
舛,chun2,,ch,un, 2 
舟,chhiu1,,chh,iu, 1 
艮,kin3,,k,in, 3 
色,sek4,,s,ek, 4 
艸,cho2,0.01 ,ch,o, 2 
艾,gainn7,,g,ainn, 7 
虫,hui2,,h,ui, 2 
虫,thiong5,0.01 ,th,iong, 5 
血,hiat4,,h,iat, 4 
行,heng5,,h,eng, 5 
行,heng7,,h,eng, 7 
衣,qi1,,q,i, 1 
衣,qi3,0.10 ,q,i, 3 
襾,ha3,,h,a, 3 
西,se1,,s,e, 1 
邖,san1,,s,an, 1 
邙,bong5,,b,ong, 5 
邛,giong5,,g,iong, 5 
阡,chian1,,ch,ian, 1 
𠀘,thian1,0.01 ,th,ian, 1 
𠂢,phai3,,ph,ai, 3 
𠂤,tui1,,t,ui, 1 
𠆴,lau7,0.01 ,l,au, 7 
𠆵,ge5,,g,e, 5 
𠆶,tam2,,t,am, 2 
𠆷,kai3,0.01 ,k,ai, 3 
𠆹,si1,0.01 ,s,i, 1 
𠦃,sap8,0.01 ,s,ap, 8 
𡭙,kui3,0.01 ,k,ui, 3 
𡭚,bonn2,,b,onn, 2 
𢁕,tiau2,,t,iau, 2 
𢖳,hi1,,h,i, 1 
𢖸,khiong1,,kh,iong, 1 
𢦐,gonn2,0.01 ,g,onn, 2 
𣱵,qeng2,0.01 ,q,eng, 2 
㐖,hiat4,,h,iat, 4 
㑁,tut4,,t,ut, 4 
㑂,hong2,0.01 ,h,ong, 2 
㑃,qau3,0.01 ,q,au, 3 
㑄,bu2,0.01 ,b,u, 2 
㕳,hiong2,,h,iong, 2 
㘨,joe7,,j,oe, 7 
㚓,lai2,,l,ai, 2 
㝐,qiong5,0.01 ,q,iong, 5 
㞲,giong7,,g,iong, 7 
㤃,hong1,,h,ong, 1 
㧎,khe5,,kh,e, 5 
㽱,kiu1,,k,iu, 1 
丣,qiu2,0.01 ,q,iu, 2 
串,choan3,,ch,oan, 3 
串,koan3,0.01 ,k,oan, 3 
乱,loan7,0.01 ,l,oan, 7 
亨,heng1,,h,eng, 1 
亨,hiang2,0.01 ,h,iang, 2 
亨,pheng1,0.01 ,ph,eng, 1 
